"","group","x1","x2","y1","y2","y3","y4","y5"
"596","a",9,3.8,11,1.3,160,150,8.7
"597","a",64,6.8,13,110,280,220,0.85
"598","a",17,5.2,10,17,240,240,4.6
"599","a",55,4.9,12,1100,200,150,0.69
"600","a",62,1.6,12,53,70,65,0.11
"601","b",83,11,11,0.28,490,580,0.26
"602","b",57,11,12,0.45,430,430,0.89
"603","b",60,11,12,77,450,320,1.1
"604","b",68,13,11,0.41,470,680,0.66
"605","b",12,12,11,0.36,510,440,6.7
"606","b",94,11,12,0.097,480,370,0.19
"607","b",94,16,11,52,640,570,0.56
"608","b",19,12,13,0.019,450,490,4.5
"609","b",75,12,12,5.9,540,430,0.62
"610","b",54,13,14,3.8,480,640,0.43
"611","b",3,17,12,0.083,630,940,10
"612","b",4,13,12,12,520,380,9.7
"613","b",98,11,12,24,450,530,0.64
"614","b",85,11,14,1900,410,590,0.85
"615","b",58,15,13,5.4,600,720,0.6
"616","b",67,13,11,17,510,760,1.5
"617","b",16,11,12,0.29,440,430,4.8
"618","b",11,11,11,0.64,480,340,6.9
"619","b",85,12,13,0.018,480,460,0.26
"620","b",75,7.6,11,37,290,210,0.42
"621","b",22,11,12,30,420,440,4.5
"622","b",65,13,11,0.022,570,440,0.26
"623","b",21,8.3,12,0.016,300,310,4.6
"624","b",42,13,11,0.095,520,650,1.3
"625","b",95,14,10,0.78,590,610,0.21
"626","b",14,11,13,1.4,470,510,6.1
"627","b",49,15,13,0.26,620,710,0.9
"628","b",69,13,13,5.4,510,320,0.1
"629","b",54,16,10,4.8,650,940,0.16
"630","b",84,14,13,61,560,600,0.66
"631","b",16,14,11,3.6,570,610,5.7
"632","b",54,12,12,1.9,460,500,0.79
"633","b",64,14,12,1100,560,590,0.22
"634","b",57,12,12,140,450,590,0.83
"635","b",41,9.7,11,22,400,230,2
"636","b",44,11,12,0.43,440,440,1.5
"637","b",7,12,12,7.6,450,350,8.8
"638","b",40,16,12,95,660,660,1.8
"639","b",17,14,15,130,520,660,4.6
"640","b",74,13,11,270,520,510,0.043
"641","b",90,14,12,0.9,580,610,0.3
"642","b",13,13,11,74,540,740,6
"643","b",59,16,12,0.53,650,630,0.042
"644","b",86,10,10,0.98,410,560,0.48
"645","b",11,14,13,0.11,630,550,6.5
"646","b",53,14,11,1.5,560,720,0.97
"647","b",28,11,13,0.027,430,650,2.6
"648","b",98,14,11,0.54,580,560,0.63
"649","b",95,12,13,23,500,740,0.46
"650","b",81,10,13,1.7,390,380,0.18
"651","b",6,15,12,43,610,630,8.9
"652","b",54,11,12,19,450,500,0.84
"653","b",20,14,12,6,570,500,4.9
"654","b",4,13,11,0.81,550,660,9.5
"655","b",22,14,12,3.1,580,460,4.4
"656","b",42,7.9,12,850,320,300,1.3
"657","b",30,12,12,12,490,490,2.3
"658","b",68,11,11,0.25,420,450,0.14
"659","b",20,10,11,54,390,500,4.8
"660","b",5,9.3,13,11,380,460,9.6
"661","b",37,9.7,10,0.46,370,460,1.7
"662","b",25,10,13,2.9,390,230,3.9
"663","b",26,16,12,1.9,640,1000,3.4
"664","b",56,13,10,500,520,640,1.3
"665","b",87,11,10,2.4,490,510,0.43
"666","b",24,14,13,3.7,560,820,3.7
"667","b",98,10,10,61,410,400,0.51
"668","b",78,11,12,0.69,390,610,1
"669","b",50,13,14,4.2,520,440,0.79
"670","b",49,15,10,6.8,640,570,1
"671","b",6,9.2,12,41,330,290,9.2
"672","b",76,12,12,0.11,460,560,0.45
"673","b",91,16,13,180,630,740,0.099
"674","b",25,11,9,3.7,430,590,3.3
"675","b",62,15,12,0.42,540,510,0.019
"676","b",55,11,11,64,420,500,0.85
"677","b",74,11,13,0.062,420,290,0.059
"678","b",40,8.8,12,11,340,450,2
"679","b",62,9.4,10,1,410,370,1.1
"680","b",31,13,11,89,490,600,2.8
"681","b",44,7.8,11,8.2,330,290,0.44
"682","b",25,11,11,29,450,540,3.6
"683","b",14,15,12,14,560,620,6.6
"684","b",43,10,11,2.1,420,480,1.7
"685","b",89,13,14,0.88,490,700,0.68
"686","b",75,12,13,11,490,660,0.32
"687","b",25,16,13,7.3,640,550,3.5
"688","b",1,13,13,0.67,510,710,12
"689","b",29,7.6,11,0.62,280,330,3.7
"690","b",28,9.2,12,0.25,390,500,3.3
"691","b",91,13,11,3.6,540,400,0.37
"692","b",29,14,14,3.9,590,650,1.8
"693","b",6,13,12,8.5,510,410,8.9
"694","b",57,12,13,0.96,450,680,1.2
"695","b",8,14,13,0.054,590,550,7.7
"696","b",83,13,13,1.6,520,530,0.21
"697","b",96,10,12,120,420,390,0.41
"698","b",12,11,13,2.7,450,450,6.2
"699","b",99,11,12,0.03,450,570,0.53
"700","b",52,8.3,13,1,350,380,0.057
"701","b",90,15,11,9,580,480,0.67
"702","b",93,13,11,0.12,570,600,0.014
"703","b",29,11,13,0.81,410,440,3
"704","b",57,16,14,2,620,480,0.42
"705","b",8,14,12,3.4,560,750,8.7
"706","b",51,11,13,1.2,460,410,1.4
"707","b",44,11,12,0.04,470,330,1.1
"708","b",15,16,13,51,630,790,5.7
"709","b",62,14,13,3.4,610,450,1.9
"710","b",18,9.5,10,0.36,370,400,4.6
"711","b",15,9.9,12,110,400,440,5.7
"712","b",81,13,12,0.98,510,590,0.55
"713","b",29,11,11,5.4,460,550,3.5
"714","b",16,10,11,0.89,420,360,5.7
"715","b",19,12,12,0.2,480,520,5.9
"716","b",97,11,8.4,1.8,450,510,0.4
"717","b",84,13,12,16,470,540,0.28
"718","b",90,13,11,100,580,350,0.83
"719","b",13,12,12,0.39,510,530,6.1
"720","b",46,10,12,2.5,430,410,1.2
"721","b",22,9.9,11,1200,430,360,4.1
"722","b",26,12,13,0.85,460,420,2.9
"723","b",89,13,13,44,520,390,0.99
"724","b",7,15,11,7.6,590,510,8.6
"725","b",85,13,13,20,540,420,0.44
"726","b",48,11,9.7,690,400,450,0.62
"727","b",63,15,11,9.4,570,440,0.04
"728","b",5,15,13,9.4,630,370,9.3
"729","b",36,12,10,18,480,570,1.8
"730","b",19,12,11,0.12,520,430,5.4
"731","b",61,12,12,680,500,390,0.011
"732","b",74,13,11,3.5,590,610,0.73
"733","b",3,11,14,3.7,460,280,9.9
"734","b",5,11,13,0.44,430,460,9.8
"735","b",34,19,12,290,770,720,1.6
"736","b",34,11,13,3.7,440,370,1.4
"737","b",96,10,11,170,420,510,0.023
"738","b",88,13,14,26,510,490,0.1
"739","b",96,11,11,2,470,560,0.0095
"740","b",97,14,10,1.6,510,590,0.45
"741","b",29,9.7,11,11,410,360,2.5
"742","b",14,14,10,47,580,670,5.5
"743","b",87,14,13,9.5,580,340,0.71
"744","b",35,12,12,0.069,430,590,1.8
"745","b",96,14,11,10,620,460,0.72
"746","b",70,10,13,12,430,560,0.32
"747","b",93,16,12,19,640,530,0.089
"748","b",42,5.8,12,4.5,210,210,0.94
"749","b",25,9.4,11,2.6,380,480,2.5
"750","b",5,12,13,0.3,440,470,9.3
"751","b",34,11,13,3.6,410,590,2.3
"752","b",89,14,12,300,530,630,1
"753","b",56,14,13,0.34,550,570,0.81
"754","b",33,13,12,0.59,520,410,2.7
"755","b",38,13,12,1,540,590,2.2
"756","b",87,13,11,36,490,770,0.4
"757","b",53,12,11,42,470,380,1.5
"758","b",45,13,14,15,490,530,1.4
"759","b",5,13,12,0.17,480,630,9.7
"760","b",14,14,12,24,570,410,5.8
"761","b",16,13,11,9.4,520,500,5.5
"762","b",84,13,14,41,520,520,0.15
"763","b",1,11,15,54,410,250,12
"764","b",89,11,11,19,430,550,0.73
"765","b",70,10,10,5.5,420,460,0.21
"766","b",16,11,14,0.26,470,520,5.1
"767","b",8,13,12,49,490,520,7.6
"768","b",100,12,12,1.1,480,470,0.22
"769","b",86,11,14,15,430,420,0.51
"770","b",66,9.6,11,31,380,490,1.5
"771","b",58,7.9,12,0.26,290,290,1.3
"772","b",76,13,12,0.69,530,560,0.59
"773","b",52,13,13,3.5,570,670,0.8
"774","b",94,12,12,12,510,660,0.31
"775","b",58,11,13,180,460,450,0.12
"776","b",7,8.7,12,0.9,330,340,9.3
"777","b",14,12,12,5.2,440,540,5.9
"778","b",2,11,12,2.4,390,490,10
"779","b",52,15,12,9.2,580,420,1.4
"780","b",88,13,11,0.25,570,640,1
"781","b",36,13,12,0.6,570,640,1.8
"782","b",35,8,11,110,350,310,2.8
"783","b",76,12,12,13,520,640,1.2
"784","b",53,11,12,6.2,420,470,0.7
"785","b",12,12,12,210,490,510,5.9
"786","b",74,13,14,95,490,590,0.089
"787","b",70,15,13,1,590,700,1.2
"788","b",14,13,12,13,520,590,5.8
"789","b",51,9.4,15,2.6,350,400,0.71
"790","b",64,11,12,47,450,460,0.097
"791","b",5,11,12,0.3,480,530,9.1
"792","b",22,9.7,12,5.4,410,400,3.8
"793","b",51,12,14,1.2,480,350,1.8
"794","b",94,11,12,2.2,380,530,0.27
"795","b",84,15,13,0.54,550,680,0.21
"796","b",32,14,12,290,550,500,2.6
"797","b",18,11,13,2.5,430,380,4.9
"798","b",17,18,12,10,690,880,5.5
"799","b",36,8.3,12,9.3,320,390,1.6
"800","b",72,14,13,17,550,520,0.084
"801","b",3,11,13,0.74,410,370,11
"802","b",68,9.3,11,0.2,390,400,0.45
"803","b",73,12,12,2.4,470,650,0.67
"804","b",69,9.6,11,2,420,340,0.26
"805","b",77,14,14,0.14,520,520,0.23
"806","b",78,11,11,0.88,440,490,0.57
"807","b",7,9,12,5.3,400,290,8.2
"808","b",41,12,11,58,470,510,1.4
"809","b",90,12,13,1.1,460,360,0.43
"810","b",51,14,12,2.8,590,540,1.9
"811","b",58,12,11,6.1,510,570,1.5
"812","b",97,11,13,510,400,380,0.13
"813","b",95,15,13,33,650,890,0.0037
"814","b",8,12,12,5,510,480,7.9
"815","b",26,8.5,12,0.18,350,280,2.9
"816","b",97,12,11,33,470,390,0.23
"817","b",52,13,13,0.37,470,520,0.62
"818","b",71,12,14,0.11,440,320,1.5
"819","b",31,13,12,100,550,770,1.6
"820","b",51,13,12,0.38,560,490,1.3
"821","b",76,12,13,14,460,510,0.046
"822","b",45,12,12,3.2,460,590,2.3
"823","b",24,9.8,12,9.9,340,320,3
"824","b",69,15,13,15,610,660,0.27
"825","b",36,12,10,4.1,440,480,1.8
"826","b",89,17,11,31,650,900,0.24
"827","b",80,13,12,3.1,470,410,0.053
"828","b",77,13,11,0.43,530,490,0.06
"829","b",21,15,12,0.46,580,450,4
"830","b",13,14,9.4,26,560,550,6.3
"831","b",52,12,13,3.4,470,740,0.67
"832","b",47,12,12,7,450,510,1.4
"833","b",44,16,12,8.3,610,450,1.7
"834","b",48,9.1,13,28,370,470,1.6
"835","b",99,15,13,19,610,620,0.11
"836","b",6,12,10,19,500,460,9.2
"837","b",30,11,11,0.13,390,520,2.5
"838","b",57,10,13,41,460,410,0.2
"839","b",67,14,12,240,550,730,0.31
"840","b",44,10,12,2,420,520,1.7
"841","b",90,9.1,12,0.9,340,580,1.3
"842","b",65,15,11,1.8,610,850,0.52
"843","b",94,15,13,4.1,600,520,0.52
"844","b",25,16,12,2.2,670,850,3.6
"845","b",79,12,12,95,480,640,0.084
"846","b",47,7.7,11,1.4,320,290,0.52
"847","b",62,10,12,21,400,510,0.62
"848","b",65,11,11,1.5,400,480,1
"849","b",3,13,12,2.6,510,440,9.9
"850","b",78,12,11,230,510,560,0.36
"851","b",55,13,13,0.018,520,490,1.2
"852","b",15,9.3,11,2.6,360,450,6
"853","b",48,9.6,12,0.44,390,410,0.95
"854","b",49,14,14,9.7,550,620,2.2
"855","b",48,11,13,2.4,430,580,1.4
"856","b",94,9.2,11,5.9,350,270,0.44
"857","b",38,11,14,2.4,430,350,2
"858","b",25,12,12,0.29,490,540,3.4
"859","b",38,12,15,6.3,510,550,0.86
"860","b",41,10,12,0.66,410,440,1.9
"861","b",39,11,15,0.47,430,450,2.7
"862","b",36,12,12,0.038,490,480,2.1
"863","b",2,15,13,5.1,620,790,12
"864","b",2,15,13,220,620,740,11
"865","b",85,12,11,15,470,440,0.46
"866","b",30,13,11,0.2,470,360,1.5
"867","b",4,14,12,19,570,690,10
"868","b",80,8.1,11,51,330,300,0.46
"869","b",44,8.2,12,5.2,350,370,1.8
"870","b",52,8.4,10,0.051,320,220,1.2
"871","b",64,15,13,38,580,530,0.58
"872","b",15,16,11,63,650,260,6.2
"873","b",65,12,13,0.27,490,580,0.52
"874","b",55,13,11,0.56,550,530,1.2
"875","b",13,11,11,2.1,390,380,6.4
"876","b",11,9.2,13,0.56,350,280,6
"877","b",55,13,11,60,530,520,0.56
"878","b",76,13,12,4.3,510,710,0.4
"879","b",28,13,11,31,510,560,2.8
"880","b",18,12,11,25,490,710,4.7
"881","b",80,13,11,1.1,470,690,0.00064
"882","b",75,12,12,39,510,300,1.2
"883","b",33,12,12,8.1,490,500,1.9
"884","b",13,11,12,22,480,530,5.8
"885","b",45,12,11,1.3,460,550,1.1
"886","b",36,8.8,14,21,370,450,2
"887","b",62,14,12,1.1,570,600,0.65
"888","b",49,12,14,1.4,450,400,1
"889","b",26,11,12,5.7,460,480,3.9
"890","b",74,11,14,0.098,470,450,0.35
"891","b",96,11,11,120,440,550,0.38
"892","b",48,14,12,12,560,140,1.7
"893","b",41,11,12,65,400,460,0.91
"894","b",65,16,11,4.8,630,720,1.8
"895","b",86,11,12,11,440,710,0.27
"896","b",89,9.1,12,22,360,370,0.32
"897","b",39,12,12,0.31,440,510,1.4
"898","b",28,14,12,0.5,560,450,2.8
"899","b",71,10,12,2.9,400,420,0.14
"900","b",32,13,13,84,550,480,2.6
"901","b",66,17,11,3.9,670,620,0.39
"902","b",2,13,12,120,510,390,11
"903","b",8,12,11,0.84,510,600,8.5
"904","b",61,10,14,1.8,410,440,0.18
"905","b",60,13,14,0.58,500,410,1.3
"906","b",32,11,13,2.2,450,550,3.4
"907","b",85,9.8,12,0.4,340,380,0.0029
"908","b",16,11,11,0.85,460,580,5.7
"909","b",32,15,13,0.53,640,530,2.5
"910","b",41,12,12,60,470,490,1.7
"911","b",22,11,12,1.3,450,370,3.9
"912","b",42,9.1,12,14,380,270,1
"913","b",32,10,12,1.7,410,480,1.6
"914","b",67,12,14,0.58,480,670,0.15
"915","b",33,14,14,5.6,520,680,2.7
"916","b",28,14,12,6.7,500,470,2.7
"917","b",26,16,13,22,710,680,3.5
"918","b",64,13,12,53,520,500,0.21
"919","b",80,9.5,11,16,380,440,0.038
"920","b",60,15,9.8,3.1,570,850,0.58
"921","b",64,13,12,2,500,730,0.26
"922","b",26,11,13,45,470,400,3
"923","b",37,13,10,7.9,510,610,1.8
"924","b",40,14,13,7.9,530,710,2
"925","b",29,11,9.5,0.56,450,390,2.5
"926","b",86,12,11,0.19,510,460,0.6
"927","b",18,13,14,220,530,330,5
"928","b",56,13,12,0.31,510,660,1.2
"929","b",41,9.7,12,8.4,390,410,0.85
"930","b",37,17,12,45,670,570,1.3
"931","b",96,13,14,2.1,460,340,0.36
"932","b",95,11,14,23,450,470,0.38
"933","b",21,12,12,15,490,420,4.3
"934","b",99,9,13,20,390,430,0.48
"935","b",74,12,12,1.6,500,570,1.2
"936","b",67,15,13,0.59,620,370,0.61
"937","b",18,11,13,20,420,440,3.7
"938","b",92,11,12,6,420,470,0.66
"939","b",54,11,11,0.52,410,380,1.8
"940","b",29,15,11,0.52,590,340,3.6
"941","b",16,11,11,13,400,470,5.3
"942","b",88,15,11,5.6,610,570,0.64
"943","b",83,12,12,0.12,420,570,0.38
"944","b",54,9.9,14,5.7,420,420,1.7
"945","b",67,14,12,9.5,560,630,0.53
"946","b",87,12,12,10,430,780,0.37
"947","b",25,12,11,750,440,580,3.5
"948","b",77,10,12,18,400,470,0.14
"949","b",42,15,13,350,560,890,1.2
"950","b",98,14,12,33,570,770,0.97
"951","b",41,11,14,0.079,450,350,2.1
"952","b",96,11,10,3.4,450,390,0.099
"953","b",25,15,14,2.2,570,410,3.1
"954","b",74,9.8,14,2.6,430,410,0.27
"955","b",59,16,12,13,610,480,1.2
"956","b",94,8.9,13,8.4,370,370,0.05
"957","b",90,10,12,0.37,430,440,0.33
"958","b",93,13,12,17,520,520,0.24
"959","b",76,15,13,310,600,770,0.1
"960","b",65,10,12,130,410,400,1.3
"961","b",63,14,12,6.5,580,750,0.41
"962","b",89,17,11,3.9,690,620,0.6
"963","b",53,14,12,1.3,580,650,0.18
"964","b",23,12,10,17,460,450,3.1
"965","b",10,11,12,130,430,310,6.8
"966","b",63,11,12,0.56,470,420,0.28
"967","b",1,10,13,32,420,390,11
"968","b",63,11,13,7.4,470,610,0.95
"969","b",13,12,13,39,440,540,6.6
"970","b",73,13,11,31,580,580,0.054
"971","b",24,11,13,6.7,410,400,4.1
"972","b",67,11,13,1.7,410,340,0.68
"973","b",29,13,13,3.7,540,550,2.2
"974","b",98,11,15,25,420,370,0.48
"975","b",93,11,13,0.7,460,550,0.42
"976","b",5,9,12,0.31,370,400,9.5
"977","b",33,13,11,17,480,660,2.4
"978","b",70,13,12,29,510,570,1.3
"979","b",55,11,11,24,450,430,0.49
"980","b",1,14,13,1.3,610,450,12
"981","b",90,11,11,26,460,420,0.05
"982","b",55,11,12,0.14,470,420,0.25
"983","b",58,10,12,720,410,510,0.94
"984","b",30,12,12,4.5,460,480,2.4
"985","b",37,9.6,12,0.37,400,370,2
"986","b",30,12,12,0.27,500,450,3.5
"987","b",68,12,13,180,460,520,0.032
"988","b",9,11,11,69,430,470,7.1
"989","b",5,13,11,14,510,460,9.5
"990","b",47,13,12,1.7,510,580,1.6
"991","b",60,13,13,8.9,540,500,0.056
"992","b",9,10,11,11,410,380,7.5
"993","b",55,12,12,0.49,490,550,0.3
"994","b",33,10,12,0.061,390,510,2.3
"995","b",22,13,14,5.3,530,460,3.7
"996","b",90,11,13,24,430,630,1.2
"997","b",86,12,12,2.9,440,530,0.66
"998","b",100,16,11,0.14,670,940,0.59
"999","b",99,10,13,0.55,420,320,0.025
"1000","b",13,13,10,41,540,570,6.2
"1001","b",37,13,11,39,530,400,1.8
"1002","b",65,12,14,0.29,470,520,0.64
"1003","b",87,9.6,11,0.017,380,480,0.33
"1004","b",97,14,13,17,590,740,0.28
"1005","b",96,12,9.1,0.17,520,520,0.39
"1006","b",65,12,10,2.4,510,680,0.41
"1007","b",12,15,13,25,630,610,6.6
"1008","b",9,9.6,12,43,400,360,7.9
"1009","b",97,10,12,29,410,310,1
"1010","b",52,11,11,14,430,370,0.5
"1011","b",78,13,15,1.8,530,640,0.25
"1012","b",39,11,11,1.1,400,580,2.5
"1013","b",41,9.2,11,3.6,390,460,0.94
"1014","b",36,12,13,0.014,450,420,2.4
"1015","b",93,14,11,14,550,520,0.29
"1016","b",65,15,11,2.1,610,940,0.77
"1017","b",2,15,14,11,580,370,9.6
"1018","b",36,13,12,16,570,510,2.4
"1019","b",5,12,11,170,440,380,10
"1020","b",26,15,12,73,590,530,3.9
"1021","b",10,13,13,0.47,510,490,7.5
"1022","b",61,13,13,26,540,350,0.43
"1023","b",78,13,12,13,580,520,0.24
"1024","b",72,11,12,0.94,490,400,0.84
"1025","b",58,13,14,0.47,560,620,1.2
"1026","b",35,14,11,300,560,730,2
"1027","b",22,7,13,10,260,270,3.9
"1028","b",89,14,9.9,4.3,620,490,0.41
"1029","b",39,13,12,42,480,460,2.5
"1030","b",34,13,12,11,490,410,2
"1031","b",64,13,11,0.72,500,520,1
"1032","b",64,8.9,13,4.4,300,430,0.45
"1033","b",40,11,11,77,410,490,1.3
"1034","b",74,13,13,0.49,510,490,0.074
"1035","b",54,13,12,0.54,490,400,0.32
"1036","b",73,12,12,1.2,490,550,0.9
"1037","b",66,13,13,18,470,670,0.47
"1038","b",80,10,12,0.032,380,460,0.43
"1039","b",53,13,12,0.92,570,520,0.93
"1040","b",17,13,10,40,510,540,5.4
"1041","b",55,13,15,0.48,500,550,0.88
"1042","b",7,14,10,1.7,570,810,8.8
"1043","b",48,12,12,98,500,460,0.74
"1044","b",60,8.3,12,0.027,360,360,0.25
"1045","b",80,13,12,4.8,490,590,0.082
"1046","b",80,13,12,2.1,540,530,0.15
"1047","b",20,13,11,3,530,610,4.4
"1048","b",7,9.7,11,46,390,520,8.3
"1049","b",28,9.7,11,3.9,390,520,2.5
"1050","b",37,13,12,450,490,500,1.9
"1051","b",41,6.9,12,40,260,330,1.6
"1052","b",35,12,11,3.2,510,360,1.8
"1053","b",13,13,13,0.31,510,400,6.6
"1054","b",8,12,12,60,480,500,8
"1055","b",62,16,12,13,680,550,0.082
"1056","b",75,12,14,92,460,460,1.3
"1057","b",89,17,12,1,680,850,0.17
"1058","b",26,11,13,0.68,490,730,3.5
"1059","b",88,9,12,5,360,430,0.72
"1060","b",50,12,13,16,470,470,1.3
"1061","b",78,11,12,13,420,490,0.47
"1062","b",29,12,12,0.053,480,570,2.4
"1063","b",59,9.7,12,1.4,420,290,0.87
"1064","b",90,8,13,1.8,320,320,0.58
"1065","b",36,12,12,1.9,470,470,2
"1066","b",1,13,11,100,530,430,12
"1067","b",2,11,12,23,480,580,12
"1068","b",96,9,12,2.4,320,440,0.17
"1069","b",51,17,11,0.18,700,480,1.1
"1070","b",55,11,12,87,480,480,1.8
"1071","b",68,10,13,15,420,400,0.11
"1072","b",56,13,9.7,4.2,470,690,0.76
"1073","b",16,11,12,0.34,420,500,5.1
"1074","b",16,11,13,7.8,430,500,5
"1075","b",47,11,13,10,460,610,0.98
"1076","b",1,16,13,0.22,570,440,12
"1077","b",16,11,9.5,10,420,490,5.4
"1078","b",41,13,13,10,500,700,2.4
"1079","b",6,12,12,20,480,360,9.5
"1080","b",93,9.8,14,0.68,390,400,0.18
"1081","b",78,11,15,0.58,460,480,0.12
"1082","b",55,16,12,11,620,550,0.52
"1083","b",43,8.4,13,6.3,350,370,1.9
"1084","b",71,11,13,0.19,400,490,0.35
"1085","b",26,9.9,13,1300,390,400,3.1
"1086","b",61,13,12,5.4,500,510,0.23
"1087","b",95,11,14,54,430,500,0.027
"1088","b",21,12,11,96,400,440,4
"1089","b",2,15,13,1.5,560,530,11
"1090","b",13,9.4,12,0.27,370,410,7.3
"1091","b",28,9.1,11,0.24,350,200,3.3
"1092","b",25,12,11,5.4,430,540,3.6
"1093","b",83,11,13,0.15,390,610,0.66
"1094","b",71,9.8,11,4.7,360,460,0.43
"1095","b",59,6.7,11,5.1,250,290,0.8
"1096","b",77,13,12,0.023,500,470,0.55
"1097","b",93,10,14,0.028,410,360,0.048
"1098","b",60,14,11,33,570,770,1.3
"1099","b",90,9.5,12,0.73,350,420,0.011
"1100","b",98,15,12,17,620,780,0.4
"1101","b",56,14,12,0.15,540,630,1.3
"1102","b",5,14,13,0.68,550,770,9.5
"1103","b",98,9.7,13,0.66,390,380,0.52
"1104","b",69,15,12,4.4,550,590,0.2
"1105","b",49,12,13,250,470,600,1.4
"1106","b",63,12,12,1.3,480,420,1
"1107","b",81,14,12,2.3,550,560,0.9
"1108","b",68,13,11,7.4,560,830,0.54
"1109","b",75,14,12,9.6,540,580,0.37
"1110","b",87,15,12,2.4,600,630,0.19
"1111","b",28,12,12,3.5,480,710,3
"1112","b",10,11,9.8,35,430,470,7.6
"1113","b",59,13,12,50,540,330,0.54
"1114","b",92,14,11,4,550,760,0.14
"1115","b",56,12,12,5.5,480,590,1
"1116","b",28,9.5,12,4.1,400,330,3.2
"1117","b",71,10,13,0.61,440,370,0.19
"1118","b",23,11,13,14,450,580,3.7
"1119","b",26,12,12,0.62,500,680,2.9
"1120","b",90,12,12,1.3,510,550,0.45
"1121","b",21,13,11,6.5,550,810,5.6
"1122","b",9,11,13,1.3,420,340,9.1
"1123","b",18,12,14,2.3,470,430,4.5
"1124","b",86,8.3,12,21,380,440,0.14
"1125","b",58,15,12,0.89,600,450,0.61
"1126","b",33,11,13,0.18,430,400,1.9
"1127","b",32,13,12,2.9,520,540,1.8
"1128","b",18,11,12,0.13,400,550,5.6
"1129","b",12,14,12,9.2,570,600,5.6
"1130","b",93,13,13,1.6,530,510,0.78
"1131","b",9,12,13,8.5,530,540,7.7
"1132","b",3,13,12,2.1,550,460,11
"1133","b",48,13,14,18,490,510,0.072
"1134","b",12,11,13,2.4,460,670,6.7
"1135","b",23,12,10,28,480,380,3.8
"1136","b",56,13,12,67,550,460,0.035
"1137","b",96,11,10,5.1,390,480,0.07
"1138","b",44,14,13,2.3,580,800,1.8
"1139","b",98,11,12,0.19,440,310,0.55
"1140","b",59,15,12,6.4,600,560,0.7
"1141","b",57,11,13,8.6,430,430,1.7
"1142","b",75,13,13,0.33,580,93,0.2
"1143","b",70,11,11,0.64,460,430,0.44
"1144","b",47,13,12,9.9,530,440,1.5
"1145","b",80,10,13,340,410,340,0.67
"1146","b",54,9.8,11,48,410,420,0.27
"1147","b",21,15,12,3.6,530,460,4.4
"1148","b",25,9.8,13,120,400,440,3.4
"1149","b",95,13,12,2.7,540,440,0.63
"1150","b",65,11,11,22,420,470,0.27
"1151","b",21,12,14,81,460,500,4
"1152","b",29,11,13,90,410,530,2.5
"1153","b",11,16,12,3.8,610,680,6.2
"1154","b",44,11,12,25,400,430,1.4
"1155","b",42,11,11,0.33,460,480,1.5
"1156","b",90,9.8,9.7,280,340,410,0.98
"1157","b",34,13,13,0.13,530,550,2.1
"1158","b",26,12,10,10,480,530,2.9
"1159","b",74,17,13,1.7,670,360,0.42
"1160","b",85,10,12,1.4,390,310,1.1
"1161","b",71,15,13,57,580,950,0.58
"1162","b",62,10,13,6.7,380,410,0.83
"1163","b",23,11,14,0.082,460,480,3.7
"1164","b",34,13,14,4.2,500,450,1.9
"1165","b",43,14,11,5.1,540,620,1.2
"1166","b",86,13,13,0.12,540,640,0.61
"1167","b",38,13,10,3.2,530,650,1.6
"1168","b",16,12,10,49,460,460,6.2
"1169","b",76,9.7,14,17,390,300,0.59
"1170","b",68,12,13,10,490,400,0.49
"1171","b",58,12,12,0.98,520,550,0.33
"1172","b",55,11,12,0.65,430,500,0.14
"1173","b",35,9.2,11,3,350,430,1.7
"1174","b",76,11,11,8.7,400,450,0.28
"1175","b",24,8.2,12,0.12,350,270,4.5
"1176","b",90,13,12,0.82,510,570,0.11
"1177","b",62,15,13,1.9,570,660,1.2
"1178","b",24,9.9,13,29,420,390,2.9
"1179","b",51,10,13,0.075,380,410,0.86
"1180","b",36,11,13,0.4,480,470,1.4
"1181","b",11,14,14,15,550,630,6.8
"1182","b",76,15,13,0.0017,560,440,0.26
"1183","b",60,11,12,7.5,420,410,0.6
"1184","b",46,13,12,350,530,490,0.9
"1185","b",82,14,12,0.57,580,650,0.91
"1186","b",7,9.9,14,97,450,550,8.5
"1187","b",16,14,13,7.3,550,660,5.4
"1188","b",54,12,14,570,470,540,0.67
"1189","b",11,12,13,0.43,430,340,6.4
"1190","b",47,12,12,5.8,490,530,1.5
"1191","b",32,16,12,11,670,610,2.8
"1192","b",23,13,13,16,560,510,3.2
"1193","b",50,11,11,27,390,370,1
"1194","b",51,13,11,0.038,550,500,1.5
"1195","b",67,15,11,0.19,580,840,0.0072
"1196","b",56,8.8,12,1.6,360,460,0.6
"1197","b",45,8.8,13,27,340,340,1.1
"1198","b",68,10,11,0.2,420,450,0.26
"1199","b",68,13,13,4.3,490,510,0.13
"1200","b",99,8.7,13,0.99,350,290,0.011
"1201","c",78,10,13,6.5,240,210,0.68
"1202","c",55,11,12,16,240,300,1
"1203","c",59,14,13,28,310,470,0.65
"1204","c",37,12,11,200,270,200,1.7
"1205","c",36,13,13,51,270,170,2
"1206","c",7,13,11,48,310,340,9
"1207","c",16,12,12,880,270,250,5.8
"1208","c",58,9.8,12,6.4,190,210,0.25
"1209","c",63,18,11,80,410,400,0.14
"1210","c",17,9.6,12,22,230,210,5.3
"1211","c",47,11,11,0.84,240,250,0.77
